song,artist,entry_date,exit_date,total_days,peak_position,avg_position,time_to_peak,avg_popularity,album_type,is_explicit,duration_min,total_tracks,stage,duration_bin
Khé?,Rauw Alejandro,2025-11-17,2025-11-27,11,8,14.09,6,77.27,album,False,3.43,18,Peak,3-4 min
LA 125,Quevedo,2025-11-24,2025-11-27,4,10,18.25,0,65.0,album,False,3.24,18,New Entry,3-4 min
LA BABY,Tainy,2024-07-02,2024-07-12,11,25,42.27,0,74.64,album,False,3.05,19,Decline,3-4 min
LA CAPI,Myke Towers,2024-12-14,2025-09-25,233,13,30.15,39,76.15,album,True,3.37,23,Mature,3-4 min
LA FALDA,Myke Towers,2024-11-25,2025-11-23,359,1,13.23,85,87.05,album,True,2.9,23,Peak,2-3 min
LA INOCENTE,Mora,2024-05-30,2024-08-11,31,45,48.23,22,88.81,album,True,3.37,15,Decline,3-4 min
LA MARINA STA MORENA,Figa Flawas,2025-08-07,2025-10-15,69,19,30.28,28,71.22,single,False,2.19,1,Mature,2-3 min
LA NENA,Lyanno & Rauw Alejandro,2025-04-21,2025-05-25,27,25,38.93,6,78.15,single,True,3.33,1,Decline,3-4 min
LA RANGER (feat. Myke Towers),The Academy: Segunda Misión & Justin Quiles & Lenny Tavárez,2025-03-31,2025-07-16,107,3,20.86,11,79.62,album,True,3.83,9,Peak,3-4 min
LA REINA,Lola Indigo,2025-06-16,2025-11-26,162,4,10.75,4,75.53,single,False,2.5,1,Peak,2-3 min
LA RIJANA,SAIKO,2025-04-28,2025-04-29,2,41,44.0,0,58.5,album,False,2.29,16,New Entry,2-3 min
LA SEVILLANA,Omar Montes,2025-04-14,2025-05-04,21,3,7.95,6,71.9,single,False,3.67,1,Peak,3-4 min
LA SEVILLANA - SEVILLANAS,Omar Montes,2025-05-05,2025-07-03,60,8,25.2,0,63.28,single,False,3.67,1,Peak,3-4 min
LA VUELTA,Feid,2024-12-02,2024-12-02,1,48,48.0,0,0.0,album,False,2.03,10,New Entry,2-3 min
LA ÚLTIMA,Quevedo,2025-02-03,2025-03-23,48,1,16.33,0,81.44,single,False,2.84,1,Peak,2-3 min
LAGUNA,Mora,2024-08-30,2024-09-02,4,11,21.5,0,55.75,album,True,4.11,15,New Entry,4-5 min
LALA,Myke Towers,2024-06-29,2025-09-24,310,1,19.94,6,93.45,album,True,3.3,23,Peak,3-4 min
LAS BABYS,Aitana,2024-06-09,2024-08-29,82,4,23.07,2,80.33,single,False,2.56,1,Peak,2-3 min
LATTE (feat. Maria Becerra),The Academy: Segunda Misión & Sech & Dalex,2025-03-31,2025-03-31,1,43,43.0,0,53.0,album,True,4.34,9,New Entry,4-5 min
LOKITA,Mora,2024-08-30,2024-09-02,4,13,28.75,0,54.5,album,True,2.57,15,New Entry,2-3 min
LOS DÍAS CONTADOS,Quevedo,2025-11-24,2025-11-27,4,4,5.25,0,67.5,album,False,2.7,18,New Entry,2-3 min
LOS PITS,Bad Bunny,2024-10-14,2024-10-20,7,20,33.86,0,70.14,album,True,4.18,22,New Entry,4-5 min
LUCES DE TECNO,Feid,2024-09-30,2025-02-03,124,7,32.15,0,78.67,album,False,2.73,15,Peak,2-3 min
LUNA,Feid,2024-12-02,2025-11-27,357,2,12.14,40,90.17,album,False,3.28,10,Peak,3-4 min
LUNCH,Billie Eilish,2025-05-19,2025-05-30,12,20,34.33,6,89.33,album,False,2.99,10,Decline,2-3 min
La Baby,Brytiago,2024-11-03,2024-12-02,16,3,31.31,27,70.38,single,True,2.69,1,Peak,2-3 min
La Bachata,Manuel Turizo,2024-05-18,2025-11-19,538,11,26.77,228,85.63,album,False,2.71,15,Mature,2-3 min
La Bebe - Remix,Yng Lvcas & Peso Pluma,2024-05-18,2024-08-29,104,10,27.39,14,98.37,single,True,3.91,2,Peak,3-4 min
La Canción Feliz Del Disco,Eladio Carrion,2025-01-21,2025-01-24,4,13,39.0,0,71.75,album,True,2.89,17,New Entry,2-3 min
